"deviceType","duration_sec"
"TILE","26091152"
"TILE","25736882"
"TILE","25049112"
"TILE","23330538"
"TILE","22722706"
"TILE","22721781"
"TILE","22720770"
"TILE","22717833"
"TILE","22715705"
"TILE","22709396"
"TILE","22637475"
"TILE","22635530"
"TILE","22634589"
"TILE","22630447"
"TILE","22625511"
"TILE","22454348"
"TILE","22117027"
"TILE","22036090"
"TILE","21520414"
"TILE","21516615"
"TILE","20903671"
"TILE","20738170"
"TILE","20733383"
"TILE","19614862"
"TILE","19609114"
"TILE","18139820"
"TILE","17020370"
"TILE","16673432"
"TILE","16670550"
"TILE","16665791"
"TILE","16405253"
"TILE","16069369"
"TILE","16062848"
"TILE","16061934"
"TILE","14512396"
"TILE","176980"
"TILE","172045"
"TILE","19.2"
"TILE","26263486"
"TILE","25649737"
"TILE","23587298"
"TILE","23586361"
"TILE","23582632"
"TILE","23241897"
"TILE","23240972"
"TILE","23230487"
"TILE","23156669"
"TILE","23154720"
"TILE","23153779"
"TILE","20824879"
"TILE","16591579"
"TILE","693190"
"TILE","519213"
"TILE","20.2"
"TILE","39148724"
"TILE","33532551"
"TILE","33530630"
"TILE","29053007"
"TILE","29051107"
"TILE","23610628"
"TILE","23250236"
"TILE","23248320"
"TILE","22816863"
"TILE","21608538"
"TILE","16165007"
"TILE","13340115"
"TILE","7701624"
"TILE","1831982"
"TILE","622617"
"TILE","183846"
"TILE","182885"
"TILE","181961"
"TILE","181009"
"TILE","180025"
"TILE","18117"
"TILE","25445714"
"TILE","21987996"
"TILE","18964632"
"TILE","28821"
"TILE","25179486"
"TILE","25178554"
"TILE","25173710"
"TILE","25002355"
"TILE","24400957"
"TILE","24306315"
"TILE","23971479"
"TILE","23969464"
"TILE","23960735"
"TILE","23883476"
"TILE","23185416"
"TILE","21981484"
"TILE","21979492"
"TILE","21975523"
"TILE","20335626"
"TILE","28813"
"TILE","25517470"
"TILE","25515460"
"TILE","25438560"
"TILE","25436666"
"TILE","25430891"
"TILE","25429913"
"TILE","25427967"
"TILE","25347223"
"TILE","25261123"
"TILE","24917961"
"TILE","24826327"
"TILE","24823535"
"TILE","24660764"
"TILE","24650069"
"TILE","24315235"
"TILE","24314295"
"TILE","24313225"
"TILE","24304491"
"TILE","24227230"
"TILE","24226260"
"TILE","24221503"
"TILE","24219589"
"TILE","24133615"
"TILE","24054281"
"TILE","23967510"
"TILE","23962486"
"TILE","23961553"
"TILE","23959701"
"TILE","23016728"
"TILE","23011879"
"TILE","23009744"
"TILE","22932412"
"TILE","22923981"
"TILE","22922093"
"TILE","22492906"
"TILE","22406992"
"TILE","22406058"
"TILE","22404044"
"TILE","22323248"
"TILE","22322305"
"TILE","22319279"
"TILE","22239660"
"TILE","22231073"
"TILE","22147980"
